times (ms),x-accel,y-accel,z-accel
19366.770259999998,0.273087,-1.556503,0.677322
19366.79741,0.36467,-1.158203,1.055954
19366.82456,0.810379,-0.565781,1.497269
19366.85174,1.168121,-0.132233,1.335907
19366.87889,1.34938,-1.409088,0.564926
19366.906029999995,0.589142,-0.901001,0.059891
19366.93318,-0.143082,-1.25679,-0.943878
19366.96032,-0.911789,-0.311722,-0.820847
19366.9875,-0.716492,-2.899124,0.330078
19367.01465,-0.887787,-2.318085,0.799774
19367.0418,-0.577698,-1.555008,1.035065
19367.068940000005,-0.108566,-0.892685,0.010223
19367.09609,-0.016144,-0.927979,-0.531616
19367.12327,0.11264,-0.953705,-0.538498
19367.15042,-0.21312,-0.89888,-0.423355
19367.177559999996,-0.313339,-0.977463,-0.199249
19367.204709999987,-0.309158,-0.99408,0.019165
19367.23185,-0.24765,-0.978912,0.081406
19367.25903,-0.154495,-0.970093,-0.056992
19367.28618,-0.1418,-0.977142,-0.168716
19367.31332,-0.160706,-0.993103,-0.090485
19367.340470000003,-0.162628,-1.006668,-0.05249
19367.367620000008,-0.205917,-0.988358,-0.075806
19367.394810000005,-0.180878,-0.99852,-0.113037
19367.42194,-0.159882,-0.988129,-0.11377
19367.4491,-0.156479,-1.012177,-0.08902
19367.47625,-0.141174,-0.999893,-0.042465
19367.5034,-0.116913,-0.99736,-0.042572
19367.53058,-0.037903,-0.991348,-0.062119
19367.55772,-0.01886,-1.006317,-0.053375
19367.58487,-0.066147,-1.023026,0.050995
19367.61202,-0.001251,-1.045395,0.041275
19367.63916,-0.068268,-1.032333,-0.126785
19367.66635,-0.095444,-1.141251,-0.093719
19367.693490000005,-0.218964,-1.142273,0.139145
19367.72064,-0.192017,-1.029724,0.224548
19367.74778,0.003494,-0.929062,0.20961
19367.77493,0.17688,-0.89444,0.188766
19367.802110000004,0.285751,-0.916382,0.279297
19367.829249999995,0.276825,-0.91507,0.298462
19367.8564,0.16423,-0.92868,0.266418
19367.88355,0.074875,-0.947556,0.306305
19367.910689999997,0.091354,-0.964844,0.296906
19367.937879999998,0.124771,-0.957108,0.308258
19367.965029999996,0.130722,-0.952316,0.329254
19367.99217,0.137634,-0.954803,0.316345
19368.019320000003,0.162018,-0.946457,0.303955
19368.046470000005,0.181,-0.987976,0.304916
19368.07365,0.172745,-1.023376,0.257156
19368.1008,0.285233,-1.0383,0.449814
19368.12795,0.277863,-1.005157,0.592606
19368.1551,0.232193,-0.643723,0.444458
19368.18225,0.196976,-0.75267,0.314468
19368.20944,-0.210373,-0.999146,0.007874
19368.23658,-0.236633,-0.887848,0.1147
19368.26373,-0.069473,-0.873291,0.384018
19368.29088,0.148895,-1.065887,0.467819
19368.318030000002,0.36998,-0.998459,0.702072
19368.345220000003,0.414124,-0.93811,0.581635
19368.372370000005,0.271805,-0.872223,0.498306
19368.39951,0.149261,-0.90155,0.376373
19368.42666,0.046783,-0.895645,0.381485
19368.453810000003,0.035095,-0.904846,0.315109
19368.480990000004,0.148636,-0.917221,0.326508
19368.50814,0.22612,-0.959274,0.337845
19368.535289999996,0.175812,-0.928421,0.33963
19368.56244,0.102539,-0.877899,0.285141
